Gene	CellType	Rho	PValue	padj	Significance
DEPTOR	T cells gamma delta	NA	NA	NA	
DEPTOR	NK cells resting	0.06189697766168323	0.47242640101244804	0.686106662081963	
DEPTOR	NK cells activated	-0.019246911470966955	0.8233519505884107	0.90322937863057	
DEPTOR	Monocytes	8.784798909177119e-4	0.9918711876271228	0.9986648258985414	
DEPTOR	Macrophages M0	-0.026592896037802603	0.7577289414657937	0.8840170983767595	
DEPTOR	Macrophages M1	-0.12100105017576068	0.15898751911209202	0.4100204440259215	
DEPTOR	Macrophages M2	0.16582948007905562	0.052790533799192185	0.2425065146400391	
DEPTOR	Dendritic cells resting	-0.11924761458023828	0.1651594460010334	0.41859376831296397	
DEPTOR	Dendritic cells activated	-0.19400565335634573	0.023110732402953794	0.16177512682067655	*
DEPTOR	Mast cells resting	0.20297812400833565	0.017366834131105423	0.1501720363101469	*
DEPTOR	Mast cells activated	-0.23874310721376138	0.0049609433517168065	0.12014446996858058	**
DEPTOR	Eosinophils	-0.0823411373519025	0.3387827472726944	0.6073300469400742	
DEPTOR	Neutrophils	-0.058478525089314004	0.4972752181524792	0.686106662081963	
